,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
137,|(2) Initialization|model|Orthogonal_model_1,_1_86,4620.656,35601.375,0.027385054156184196,0.019497722565948516
138,|(2) Initialization|model|Orthogonal_model_1,_1_72,4677.128,57241.078125,0.039555624127388,0.004647747626869273
139,|(2) Initialization|model|Orthogonal_model_1,_1_75,4612.664,42356.6484375,0.0024091152008622885,0.003010317589364705
140,|(2) Initialization|model|Orthogonal_model_1,_1_81,4835.7563,40577.61328125,0.03986136615276337,0.025768584922588388
141,|(2) Initialization|model|Orthogonal_model_1,_1_88,4671.3223,49448.46875,0.026181872934103012,0.008408947625382121
142,|(2) Initialization|model|Orthogonal_model_1,_1_43,4156.4565,64076.6171875,0.04699971154332161,0.006354337002072263
143,|(2) Initialization|model|Orthogonal_model_1,_1_44,4400.199,56481.48046875,0.043185584247112274,0.019628136495319415
144,|(2) Initialization|model|Orthogonal_model_1,_1_10,4197.6245,74421.5703125,0.028405822813510895,0.019725412719892803
145,|(2) Initialization|model|Orthogonal_model_1,_1_17,4712.133,61590.16015625,0.021739579737186432,0.011574769261660242
146,|(2) Initialization|model|Orthogonal_model_1,_1_28,4486.087,68254.7265625,0.0159179475158453,0.022532692217223448
147,|(2) Initialization|model|Orthogonal_model_1,_1_21,4905.652,46302.296875,0.03239312022924423,0.0008689208513485168
148,|(2) Initialization|model|Orthogonal_model_1,_1_26,5020.8623,51719.546875,0.050799958407878876,2.019394460107107e-05
149,|(2) Initialization|model|Orthogonal_model_1,_1_19,4258.212,39311.9921875,0.04414914548397064,0.02655147159330814
150,|(2) Initialization|model|Orthogonal_model_1,_1_62,4945.9937,42041.0625,0.04878369718790054,0.042962343986345505
151,|(2) Initialization|model|Orthogonal_model_1,_1_96,4802.6377,55207.515625,0.003119204193353653,0.015353079746534945
152,|(2) Initialization|model|Orthogonal_model_1,_1_91,4856.135,32265.158203125,0.02940603531897068,0.02049095392479291
153,|(2) Initialization|model|Orthogonal_model_1,_1_65,4371.4966,39698.73828125,0.03784710913896561,0.014325701198255686
154,|(2) Initialization|model|Orthogonal_model_1,_1_53,4670.0693,40738.0546875,0.027487780898809433,0.013910071633987827
155,|(2) Initialization|model|Orthogonal_model_1,_1_98,4831.2305,35536.58984375,0.03536611050367355,0.04410905766105163
156,|(2) Initialization|model|Orthogonal_model_1,_1_54,4212.59,46464.3515625,0.03078937716782093,0.0
157,|(2) Initialization|model|Orthogonal_model_1,_1_38,4785.84,43569.234375,0.017992326989769936,0.03852698502815552
158,|(2) Initialization|model|Orthogonal_model_1,_1_31,4198.0728,46210.296875,0.038117505609989166,0.016774697640183554
159,|(2) Initialization|model|Orthogonal_model_1,_1_36,4882.5537,48583.6640625,0.04288552328944206,0.003931302005136061
160,|(2) Initialization|model|Orthogonal_model_1,_1_55,4631.441,35818.33203125,0.0444391667842865,0.0034590309660937914
161,|(2) Initialization|model|Orthogonal_model_1,_1_52,4505.372,55367.97265625,0.02509257011115551,0.0
162,|(2) Initialization|model|Orthogonal_model_1,_1_99,4588.1924,47213.609375,0.034180548042058945,0.0059523299632606086
163,|(2) Initialization|model|Orthogonal_model_1,_1_64,5698.272,26412.650390625,0.017782852053642273,0.0182698581912072
164,|(2) Initialization|model|Orthogonal_model_1,_1_90,4821.973,50737.1484375,0.015743954107165337,0.013331921897780975
165,|(2) Initialization|model|Orthogonal_model_1,_1_97,4499.55,37600.35546875,0.03840243071317673,0.019185863179275564
166,|(2) Initialization|model|Orthogonal_model_1,_1_63,4706.749,47448.671875,0.029914189130067825,0.008241954874533209
167,|(2) Initialization|model|Orthogonal_model_1,_1_37,5243.051,74901.921875,0.012714274227619171,0.0
168,|(2) Initialization|model|Orthogonal_model_1,_1_30,4952.6465,47557.37890625,0.03570639714598656,0.0
169,|(2) Initialization|model|Orthogonal_model_1,_1_39,4593.4116,49337.61328125,0.03158476576209068,0.018483500952124417
170,|(2) Initialization|model|Orthogonal_model_1,_1_100,4434.1445,34441.0390625,0.013335861265659332,0.00711640914225215
171,|(2) Initialization|model|Orthogonal_model_1,_1_8,4534.514,49109.12109375,0.026435798034071922,0.01899436686674613
172,|(2) Initialization|model|Orthogonal_model_1,_1_1,4415.99,48140.625,0.04965466633439064,0.0
173,|(2) Initialization|model|Orthogonal_model_1,_1_6,4383.961,56002.7265625,0.028263328596949577,0.0
174,|(2) Initialization|model|Orthogonal_model_1,_1_7,4798.393,35562.77734375,8.120510028675199e-05,0.026444711997818487
175,|(2) Initialization|model|Orthogonal_model_1,_1_9,3894.318,64096.6640625,0.04462619870901108,0.006685452671565459
176,|(2) Initialization|model|Orthogonal_model_1,_1_23,4510.5625,38302.1953125,0.028317879885435104,0.005689055554459524
177,|(2) Initialization|model|Orthogonal_model_1,_1_24,4767.246,39817.50390625,0.03841265290975571,0.013863887009685306
178,|(2) Initialization|model|Orthogonal_model_1,_1_12,4256.045,46930.9453125,0.021233176812529564,0.029709013433537126
179,|(2) Initialization|model|Orthogonal_model_1,_1_15,4322.4736,49509.08203125,0.0471142940223217,0.05666456516174746
180,|(2) Initialization|model|Orthogonal_model_1,_1_41,4832.577,56334.16796875,0.025040943175554276,0.01892033674981308
181,|(2) Initialization|model|Orthogonal_model_1,_1_79,4790.457,40338.51171875,0.03237798437476158,0.023736426418222316
182,|(2) Initialization|model|Orthogonal_model_1,_1_46,4541.7764,33300.1875,0.008614896796643734,0.015333701380429717
183,|(2) Initialization|model|Orthogonal_model_1,_1_70,4933.9194,35727.0625,0.007821719162166119,0.0
184,|(2) Initialization|model|Orthogonal_model_1,_1_84,4698.346,53619.328125,0.02436336874961853,0.025715814221625426
185,|(2) Initialization|model|Orthogonal_model_1,_1_48,4308.921,60647.45703125,0.026054834946990013,0.026548775826342363
186,|(2) Initialization|model|Orthogonal_model_1,_1_83,5004.236,33839.984375,0.008894750848412514,0.030586067269811716
187,|(2) Initialization|model|Orthogonal_model_1,_1_77,4220.537,49334.83203125,0.04182039573788643,0.0
188,|(2) Initialization|model|Orthogonal_model_1,_1_14,4339.4717,57363.66015625,0.040063973516225815,0.02287770334342421
189,|(2) Initialization|model|Orthogonal_model_1,_1_13,4527.31,51849.78125,0.044555485248565674,0.008693103893179501
190,|(2) Initialization|model|Orthogonal_model_1,_1_25,4352.2373,37902.38671875,0.04586275294423103,0.0050468354191116095
191,|(2) Initialization|model|Orthogonal_model_1,_1_22,4857.958,66289.0625,0.035777296870946884,0.026527896361799492
192,|(2) Initialization|model|Orthogonal_model_1,_1_49,5163.0166,33891.703125,0.053597819060087204,0.026494704413129073
193,|(2) Initialization|model|Orthogonal_model_1,_1_76,5095.426,38919.49609375,0.041939012706279755,0.01178401671844345
194,|(2) Initialization|model|Orthogonal_model_1,_1_82,4567.125,48547.5390625,0.037419393658638,0.023595115999162093
195,|(2) Initialization|model|Orthogonal_model_1,_1_85,4832.1084,56781.33203125,0.032116908580064774,0.025308336653961358
196,|(2) Initialization|model|Orthogonal_model_1,_1_71,4921.581,56471.2890625,0.024392737075686455,0.026485748939650337
197,|(2) Initialization|model|Orthogonal_model_1,_1_78,4382.7285,62083.12109375,0.037775103002786636,0.024173710752806176
198,|(2) Initialization|model|Orthogonal_model_1,_1_47,4770.708,45632.99609375,0.03509858250617981,0.0002522106677575132
199,|(2) Initialization|model|Orthogonal_model_1,_1_40,4205.5903,59977.171875,0.03108426183462143,0.046392812354017994
200,|(6) PPO|PPO_model_0,_1_35,4159.2485,72314.125,0.05874602496623993,0.0
201,|(6) PPO|PPO_model_0,_1_32,4239.1553,60963.69140625,0.04840482771396637,0.0281326663120739
202,|(6) PPO|PPO_model_0,_1_92,4306.1025,48790.43359375,0.04193253070116043,0.035322224800421874
203,|(6) PPO|PPO_model_0,_1_66,4574.3467,59289.89453125,0.03643287718296051,0.013092345694912253
204,|(6) PPO|PPO_model_0,_1_59,4915.9097,28442.6640625,0.02562698721885681,0.030971184124083236
205,|(6) PPO|PPO_model_0,_1_61,3941.4727,45839.1484375,0.043162956833839417,0.035515440714086154
206,|(6) PPO|PPO_model_0,_1_95,4275.1157,48775.0546875,0.04264145717024803,0.024412090372312945
207,|(6) PPO|PPO_model_0,_1_57,4229.5156,29579.20703125,0.0385933443903923,0.051200271647809416
