,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
102,|Flexible_DDQN|Local_model_5,_1_92,4231.1343,57763.6640625,0.051776282489299774,0.02571033164767412
103,|Flexible_DDQN|Local_model_5,_1_66,4603.3467,63008.22265625,0.0355132557451725,0.024246332554339646
104,|Flexible_DDQN|Local_model_5,_1_59,4653.7285,37068.515625,0.06999336183071136,0.0011332636635033174
105,|Flexible_DDQN|Local_model_5,_1_61,3993.5034,75336.359375,0.03542245179414749,0.0019105609322264958
106,|Flexible_DDQN|Local_model_5,_1_95,4272.154,60184.578125,0.056806255131959915,0.011841415367299572
107,|Flexible_DDQN|Local_model_5,_1_57,4273.722,43632.4296875,0.03742869943380356,0.0
108,|Flexible_DDQN|Local_model_5,_1_68,4323.976,57673.09375,0.03837756812572479,0.010361428991557247
109,|Flexible_DDQN|Local_model_5,_1_50,4676.969,61748.47265625,0.0336303748190403,0.018766746410493466
110,|Flexible_DDQN|Local_model_5,_1_33,5062.047,78263.3984375,0.028774337843060493,0.012282998159387116
111,|Flexible_DDQN|Local_model_5,_1_34,4550.117,26865.220703125,0.06525742262601852,0.013141538387379272
112,|Flexible_DDQN|Local_model_5,_1_51,4146.4463,71738.484375,0.039702158421278,0.015731939616725147
113,|Flexible_DDQN|Local_model_5,_1_56,4261.0,44047.27734375,0.06342823058366776,0.008203128595760922
114,|Flexible_DDQN|Local_model_5,_1_69,4641.9634,50582.91796875,0.03771359473466873,0.019741062110219514
115,|Flexible_DDQN|Local_model_5,_1_94,4618.179,64303.16796875,0.04292483255267143,0.011209233030103228
116,|Flexible_DDQN|Local_model_5,_1_60,5049.1885,37200.2265625,0.040022071450948715,0.00998836745990471
117,|Flexible_DDQN|Local_model_5,_1_67,4280.1255,73920.6015625,0.0464194193482399,0.0005040418888543817
118,|Flexible_DDQN|Local_model_5,_1_93,4443.2627,51266.4375,0.03718579187989235,0.008455976569968627
119,|Flexible_DDQN|Local_model_5,_1_58,4387.0786,35346.734375,0.04637681692838669,0.011635201381052606
120,|Flexible_DDQN|Local_model_5,_1_5,4626.6416,63747.1953125,0.0669637992978096,0.026146425097970463
121,|Flexible_DDQN|Local_model_5,_1_2,4668.5054,82284.390625,0.03415093943476677,0.023862119391320376
122,|Flexible_DDQN|Local_model_5,_1_3,4114.568,56330.64453125,0.04364573210477829,0.0038228612532695714
123,|Flexible_DDQN|Local_model_5,_1_4,5031.723,55585.0546875,0.07036016881465912,0.003917130973058571
124,|Flexible_DDQN|Local_model_5,_1_45,4219.2646,53690.3125,0.046033307909965515,0.0
125,|Flexible_DDQN|Local_model_5,_1_89,4075.286,54686.359375,0.04019637033343315,0.01958875053691353
126,|Flexible_DDQN|Local_model_5,_1_42,4769.9277,62261.734375,0.0234096460044384,0.013220889535399879
127,|Flexible_DDQN|Local_model_5,_1_80,4632.909,57798.3203125,0.04614109918475151,0.006619414337854132
128,|Flexible_DDQN|Local_model_5,_1_74,4713.758,48282.23828125,0.04117577150464058,0.017481649415723388
129,|Flexible_DDQN|Local_model_5,_1_73,4981.8804,48510.1484375,0.050898101180791855,0.00326228003041755
130,|Flexible_DDQN|Local_model_5,_1_87,4357.328,70151.8046875,0.023570671677589417,0.025788498290895284
131,|Flexible_DDQN|Local_model_5,_1_27,4772.939,53906.11328125,0.01921590231359005,0.014858313795821289
132,|Flexible_DDQN|Local_model_5,_1_18,4377.2173,57952.96484375,0.046008989214897156,0.007296794386311406
133,|Flexible_DDQN|Local_model_5,_1_20,4325.1826,38189.19140625,0.04013078659772873,0.013761832866621283
134,|Flexible_DDQN|Local_model_5,_1_16,4826.203,42603.12109375,0.016990207135677338,0.027850518716201676
135,|Flexible_DDQN|Local_model_5,_1_29,4039.5947,64850.71875,0.0640404000878334,0.01879141226719154
136,|Flexible_DDQN|Local_model_5,_1_11,4594.2695,47270.3671875,0.034916654229164124,0.013958212795107162
137,|Flexible_DDQN|Local_model_5,_1_86,4494.992,44566.24609375,0.047030720859766006,0.006210134312634076
138,|Flexible_DDQN|Local_model_5,_1_72,4629.5356,64586.9296875,0.046282947063446045,0.004542988023338338
139,|Flexible_DDQN|Local_model_5,_1_75,4427.1836,38698.9609375,0.041063565760850906,0.025893914690010532
140,|Flexible_DDQN|Local_model_5,_1_81,4827.135,43758.37109375,0.04178868979215622,0.022542406173323745
141,|Flexible_DDQN|Local_model_5,_1_88,4502.5107,52986.41015625,0.07487395405769348,0.01395971104836565
142,|Flexible_DDQN|Local_model_5,_1_43,4602.244,72606.3359375,0.004337966907769442,0.011732380793116889
143,|Flexible_DDQN|Local_model_5,_1_44,4263.1055,61683.1015625,0.05165616050362587,0.024769565853387084
144,|Flexible_DDQN|Local_model_5,_1_10,3989.6226,90194.7734375,0.05652089789509773,0.013452719539475773
145,|Flexible_DDQN|Local_model_5,_1_17,4716.9463,68298.5390625,0.00914163887500763,0.00896295402709765
146,|Flexible_DDQN|Local_model_5,_1_28,4328.4316,84838.0703125,0.036050040274858475,0.013659909347634948
147,|Flexible_DDQN|Local_model_5,_1_21,4829.8066,48187.2265625,0.06168822571635246,0.012755870174892629
148,|Flexible_DDQN|Local_model_5,_1_26,5070.954,63711.25,0.04501941800117493,0.0
149,|Flexible_DDQN|Local_model_5,_1_19,4238.576,46206.98046875,0.04288395866751671,0.021768811434394093
150,|Flexible_DDQN|Local_model_5,_1_62,4973.503,58221.64453125,0.05937796086072922,0.002995622673348681
151,|Flexible_DDQN|Local_model_5,_1_96,4160.3213,78514.15625,0.06520073860883713,0.005470783834623991
152,|Flexible_DDQN|Local_model_5,_1_91,4790.135,35835.8515625,0.043925367295742035,0.003371433476183182
153,|Flexible_DDQN|Local_model_5,_1_65,4347.684,48589.76953125,0.04960690811276436,0.003479220651875475
154,|Flexible_DDQN|Local_model_5,_1_53,4552.9355,38555.9609375,0.0635286197066307,0.01908060836989505
155,|Flexible_DDQN|Local_model_5,_1_98,4774.209,45828.3828125,0.044922929257154465,0.001190364536028555
156,|Flexible_DDQN|Local_model_5,_1_54,4239.3457,44766.140625,0.024922817945480347,0.009758265984907774
157,|Flexible_DDQN|Local_model_5,_1_38,4669.5894,54181.22265625,0.03190363943576813,0.023054750770123682
158,|Flexible_DDQN|Local_model_5,_1_31,4189.1387,60194.375,0.04025610536336899,0.005316676141317486
159,|Flexible_DDQN|Local_model_5,_1_36,4886.708,50511.34375,0.04545122757554054,0.014941250452363898
160,|Flexible_DDQN|Local_model_5,_1_55,4591.9043,37118.03125,0.04320660978555679,0.010512270768600217
161,|Flexible_DDQN|Local_model_5,_1_52,4290.333,61025.6640625,0.07215075939893723,0.011460509711365613
162,|Flexible_DDQN|Local_model_5,_1_99,4552.592,44469.80859375,0.047742221504449844,0.015404125897450712
163,|Flexible_DDQN|Local_model_5,_1_64,5415.125,26674.46484375,0.03871404379606247,0.01584878424715327
164,|Flexible_DDQN|Local_model_5,_1_90,4780.973,60250.984375,0.02538985200226307,0.012053044789259332
165,|Flexible_DDQN|Local_model_5,_1_97,4571.135,42677.75390625,0.0,0.013479606346529723
166,|Flexible_DDQN|Local_model_5,_1_63,4676.966,50329.921875,0.055084776133298874,0.010917013583434132
167,|Flexible_DDQN|Local_model_5,_1_37,4733.8193,77283.9609375,0.03678609058260918,0.01926772432773833
168,|Flexible_DDQN|Local_model_5,_1_30,4900.5337,53499.4453125,0.04242236912250519,0.009734627724512866
169,|Flexible_DDQN|Local_model_5,_1_39,4489.0186,51279.1328125,0.05260610580444336,0.02298049870413958
170,|Flexible_DDQN|Local_model_5,_1_100,4294.1753,39379.74609375,0.06381983309984207,0.008277280935108803
171,|Flexible_DDQN|Local_model_5,_1_8,4456.309,56947.8515625,0.03921583667397499,0.01863299707404967
172,|Flexible_DDQN|Local_model_5,_1_1,4260.873,47616.88671875,0.07923022657632828,0.012961206058743173
173,|Flexible_DDQN|Local_model_5,_1_6,4064.5046,56815.5703125,0.05412246286869049,0.014980232487920913
174,|Flexible_DDQN|Local_model_5,_1_7,4747.2324,37951.94140625,0.0,0.021824535238887454
175,|Flexible_DDQN|Local_model_5,_1_9,3942.7766,68459.2578125,0.03942877799272537,0.022160169720203217
176,|Flexible_DDQN|Local_model_5,_1_23,4515.3677,44638.71484375,0.02170610800385475,0.0
177,|Flexible_DDQN|Local_model_5,_1_24,4771.692,46762.34765625,0.04054916650056839,0.010559048945176744
178,|Flexible_DDQN|Local_model_5,_1_12,4180.587,58640.25,0.0340757891535759,0.012717449315024016
179,|Flexible_DDQN|Local_model_5,_1_15,4123.382,73531.2890625,0.05762734264135361,0.020302872963855852
180,|Flexible_DDQN|Local_model_5,_1_41,4457.004,66551.28125,0.07486940175294876,0.011341924379648384
181,|Flexible_DDQN|Local_model_5,_1_79,4654.7173,45984.6328125,0.051604535430669785,0.021108726679918186
182,|Flexible_DDQN|Local_model_5,_1_46,4361.664,38904.0625,0.03943401947617531,0.01353482823866539
183,|Flexible_DDQN|Local_model_5,_1_70,4649.1445,30905.072265625,0.0497250072658062,0.013537174435009132
184,|Flexible_DDQN|Local_model_5,_1_84,4558.346,63118.0625,0.03389490768313408,0.02184647629769592
185,|Flexible_DDQN|Local_model_5,_1_48,4047.249,89709.828125,0.04904419183731079,0.010408992718711806
186,|Flexible_DDQN|Local_model_5,_1_83,4328.556,41373.13671875,0.05374544486403465,0.004388029116745615
187,|Flexible_DDQN|Local_model_5,_1_77,4059.4702,63505.00390625,0.054479990154504776,0.003419667060790317
188,|Flexible_DDQN|Local_model_5,_1_14,4306.563,70198.09375,0.046421851962804794,0.018662809762105152
189,|Flexible_DDQN|Local_model_5,_1_13,4444.27,54078.125,0.045109380036592484,0.017789052717495965
190,|Flexible_DDQN|Local_model_5,_1_25,4466.615,37930.05078125,0.017593026161193848,0.02160497179616275
191,|Flexible_DDQN|Local_model_5,_1_22,4873.605,86554.8828125,0.032741885632276535,0.001588155829270227
192,|Flexible_DDQN|Local_model_5,_1_49,5252.0166,42479.98046875,0.0,0.0
193,|Flexible_DDQN|Local_model_5,_1_76,5082.7373,45016.62890625,0.058364685624837875,0.0049604715118609964
194,|Flexible_DDQN|Local_model_5,_1_82,4659.8765,59318.921875,0.029890885576605797,0.011280655270448803
195,|Flexible_DDQN|Local_model_5,_1_85,4756.4814,67641.3359375,0.041307710111141205,0.012749594168307121
196,|Flexible_DDQN|Local_model_5,_1_71,4889.503,54305.375,0.023948928341269493,0.03569545637972857
